model,r2,rmse,mae,alpha,l1_ratio,nonzero_coefficients
ElasticNet,0.8104425005700928,0.020357439174770293,0.016193606115086738,5.340455967777742e-05,1.0,73.0
RandomForest,0.7755435748266262,0.0221522927053481,0.01710680373619834,,,
XGBoost,0.8026943949502251,0.020769324498407668,0.01616944827423898,,,
